"","Zipcode","State","City","Application","Approval","Lat","Long"
"1","10001","NY","NEW YORK",25748,24017,40.750422,-73.996328
"2","10002","NY","NEW YORK",1275,1198,40.718758,-73.986427
"3","10003","NY","NEW YORK",10618,10254,40.730223,-73.988564
"4","10004","NY","NEW YORK",15797,14995,40.696355,-74.025276
"5","10005","NY","NEW YORK",24665,22549,40.706903,-74.008654
"6","10006","NY","NEW YORK",8697,8481,40.708834,-74.013168
"7","10007","NY","NEW YORK",11286,11062,40.713941,-74.007401
"8","10008","NY","NEW YORK",5,3,40.780751,-73.977182
"9","10009","NY","NEW YORK",20,11,40.72775,-73.980396
"10","10010","NY","NEW YORK",20251,19332,40.739024,-73.983542
"11","10011","NY","NEW YORK",8125,7780,40.740916,-73.999769
"12","10012","NY","NEW YORK",6860,6537,40.729124,-73.991582
"13","10013","NY","NEW YORK",13677,13137,40.722105,-74.003497
"14","10014","NY","NEW YORK",7764,7573,40.738088,-74.005095
"15","10015","NY","NEW YORK",5,3,40.780751,-73.977182
"16","10016","NV","NEW YORK",5,3,40.745527,-73.978449
"17","10016","NY","NEW YORK",26421,24834,40.745527,-73.978449
"18","10016","NY","NEW YORK CITY",181,179,40.745527,-73.978449
"19","10017","NY","NEW YORK",27749,26006,40.752955,-73.973196
"20","10018","NY","NEW YORK",30636,28490,40.755332,-73.993172
"21","10019","NY","NEW YORK",31211,30108,40.765926,-73.985443
"22","10020","NY","NEW YORK",12308,11641,40.735449,-73.996788
"23","10021","NY","NEW YORK",2723,2590,40.768823,-73.960257
"24","10022","NY","NEW YORK",29094,27790,40.758775,-73.967842
"25","10023","NY","NEW YORK",133,54,40.776765,-73.982213
"26","10024","NY","NEW YORK",206,193,40.80813,-73.965653
"27","10025","NY","NEW YORK",168,157,40.798664,-73.967778
"28","10026","NY","NEW YORK",10,5,40.802918,-73.953107
"29","10027","NY","NEW YORK",2455,2412,40.812242,-73.9532
"30","10028","NY","NEW YORK",1087,1070,40.776629,-73.953914
"31","10028","NY","RYE",5,3,40.776629,-73.953914
"32","10029","NY","NEW YORK",4159,3958,40.791884,-73.943517
"33","10030","NY","NEW YORK",5,3,40.818474,-73.94329
"34","10031","NY","NEW YORK",656,642,40.823438,-73.949039
"35","10032","NY","NEW YORK",963,941,40.839137,-73.942181
"36","10033","NY","NEW YORK",15,9,40.851293,-73.934764
"37","10034","NY","NEW YORK",26,15,40.863194,-73.926959
"38","10035","NY","NEW YORK",30,16,40.801913,-73.9347
"39","10036","NY","NEW YORK",27337,25749,40.75953,-73.989847
"40","10037","NY","NEW YORK",158,152,40.813884,-73.938498
"41","10038","NY","NEW YORK",10605,9736,40.710223,-74.003368
"42","10039","NY","NEW YORK",5,3,40.826736,-73.939398
"43","10040","NY","NEW YORK",305,302,40.858692,-73.930999
"44","10041","NY","NEW YORK",5564,5414,40.703801,-74.009814
"45","10044","NY","NEW YORK",10,6,40.761812,-73.950521
"46","10045","NY","NEW YORK",515,513,40.70859,-74.008687
"47","10055","NY","NEW YORK",728,651,40.780751,-73.977182
"48","10069","NY","NEW YORK",52,6,40.777952,-73.988381
"49","10080","NY","NEW YORK",246,239,40.780751,-73.977182
"50","10103","NY","NEW YORK",1016,959,40.760264,-73.97624
"51","10104","NY","NEW YORK",2076,2016,40.760943,-73.979908
"52","10105","NY","NEW YORK",4335,4290,40.762808,-73.978534
"53","10106","NY","NEW YORK",364,343,40.765243,-73.980438
"54","10107","NY","NEW YORK",567,554,40.766429,-73.982728
"55","10110","NY","NEW YORK",271,254,40.753987,-73.980811
"56","10111","NY","NEW YORK",248,217,40.759224,-73.977762
"57","10112","NY","NEW YORK",475,471,40.759287,-73.979808
"58","10113","NY","NEW YORK",10,5,40.780751,-73.977182
"59","10115","NY","NEW YORK",10,6,40.811115,-73.96423
"60","10116","NY","NEW YORK",10,6,40.780751,-73.977182
"61","10118","NY","NEW YORK",3071,2764,40.748998,-73.986467
"62","10119","NY","NEW YORK",1898,1863,40.780751,-73.977182
"63","10119","NY","NEW YORK CITY",5,3,40.780751,-73.977182
"64","10120","NY","NEW YORK",15,9,40.750629,-73.989426
"65","10121","NY","NEW YORK",1429,1412,40.74964,-73.991889
"66","10122","NY","NEW YORK",818,809,40.751757,-73.992171
"67","10123","NY","NEW YORK",234,204,40.751489,-73.990537
"68","10128","NY","NEW YORK",222,202,40.780989,-73.95158
"69","10151","NY","NEW YORK",15,8,40.763419,-73.973971
"70","10152","NY","NEW YORK",624,607,40.758937,-73.97302
"71","10153","NY","NEW YORK",1591,1518,40.764068,-73.97348
"72","10154","NY","NEW YORK",888,763,40.758304,-73.973468
"73","10155","NY","NEW YORK",10,5,40.761104,-73.968036
"74","10163","NY","NEW YORK",147,145,40.780751,-73.977182
"75","10165","NY","NEW YORK",950,930,40.752351,-73.979132
"76","10166","NY","NEW YORK",1215,1156,40.754591,-73.976238
"77","10167","NY","NEW YORK",2543,2434,40.754858,-73.97497
"78","10168","NY","NEW YORK",608,589,40.751933,-73.976794
"79","10169","NY","NEW YORK",1741,1711,40.75474,-73.976595
"80","10170","NY","NEW YORK",997,972,40.752621,-73.97548
"81","10171","NY","NEW YORK",862,852,40.756447,-73.974821
"82","10172","NY","NEW YORK",2221,2166,40.755839,-73.975279
"83","10173","NY","NEW YORK",405,392,40.754305,-73.979564
"84","10174","NY","NEW YORK",658,648,40.751656,-73.97516
"85","10175","NY","NEW YORK",869,803,40.754305,-73.979782
"86","10176","NY","NEW YORK",805,541,40.75557,-73.978877
"87","10177","NY","NEW YORK",985,972,40.755332,-73.976082
"88","10178","NY","NEW YORK",618,610,40.751378,-73.978507
"89","10258","NY","NEW YORK",5,3,40.780751,-73.977182
"90","10271","NY","NEW YORK",1232,1217,40.708918,-74.011066
"91","10279","NY","NEW YORK",809,789,40.712697,-74.007812
"92","10281","NY","NEW YORK",6245,6035,40.714643,-74.014958
"93","10282","NY","NEW YORK",958,951,40.716597,-74.01459
"94","10285","NY","NEW YORK",2286,2132,40.71533,-74.016306
"95","10285","NY","NEW YORK CITY",485,481,40.71533,-74.016306
"96","10286","NY","NEW YORK",5,3,40.714231,-74.011895
"97","10302","NY","STATEN ISLAND",181,179,40.628923,-74.137947
"98","10304","NY","STATEN ISLAND",20,10,40.608389,-74.093684
"99","10305","NY","STATEN ISLAND",10,5,40.596828,-74.077837
"100","10306","NY","STATEN ISLAND",16,10,40.559668,-74.12241
"101","10307","NY","STATEN ISLAND",15,9,40.510723,-74.24194
"102","10314","NY","STATEN ISLAND",485,478,40.591006,-74.150741
"103","10451","NY","BRONX",217,199,40.819329,-73.920355
"104","10452","NY","BRONX",32,19,40.838729,-73.921605
"105","10453","NY","BRONX",662,651,40.852728,-73.912455
"106","10454","NY","BRONX",21,13,40.807129,-73.918405
"107","10456","NY","BRONX",941,929,40.830529,-73.908655
"108","10457","NY","BRONX",1069,1050,40.846129,-73.898255
"109","10458","NY","BRONX",1477,1462,40.864728,-73.889855
"110","10459","NY","BRONX",324,322,40.825629,-73.893605
"111","10460","NY","BRONX",15,9,40.841829,-73.879004
"112","10461","NY","BRONX",1035,1018,40.845279,-73.843103
"113","10462","NY","BRONX",1240,1229,40.842729,-73.854703
"114","10463","NY","BRONX",20,11,40.879528,-73.904355
"115","10464","NY","BRONX",11,6,40.863028,-73.799802
"116","10466","NY","BRONX",15,9,40.859878,-73.841003
"117","10467","NY","BRONX",721,712,40.876328,-73.870404
"118","10468","NY","BRONX",500,487,40.870978,-73.900505
"119","10471","NY","BRONX",21,12,40.899178,-73.898677
